% Powerflow result exported at 2025-04-29 08:06:57
% BENCHMARK MODEL BASED ON SHANDONG POWER GRID
% SHANDONG UNIVERSITY, LI CHANGGANG
% Bus
BUS,NAME,VBASE/KV,VOLTAGE/PU,ANGLE/DEG,VOLTAGE/KV,ANGLE/RAD
183,"冀黄骅G",20.000000,1.000000,7.090342,20.000000,0.123750
187,"鲁东电G",20.000000,1.000000,2.550416,20.000000,0.044513
191,"鲁博厂G",20.000000,1.000000,2.707273,20.000000,0.047251
193,"鲁寿电G",20.000000,1.000000,6.900171,20.000000,0.120431
194,"宁银川G",20.000000,1.000000,0.000000,20.000000,0.000000
201,"蒙扎鲁特",525.000000,0.998143,-6.904989,524.024992,-0.120515
202,"蒙蒙东G",20.000000,1.000000,0.000000,20.000000,0.000000
301,"蒙伊克昭",800.000000,0.998766,-6.900657,799.013110,-0.120439
302,"蒙上海庙",20.000000,1.000000,0.000000,20.000000,0.000000
311,"鲁德州发电",20.000000,1.000000,2.861557,20.000000,0.049944
312,"鲁高青发电",20.000000,1.000000,0.581269,20.000000,0.010145
313,"鲁济南发电",20.000000,1.000000,2.423860,20.000000,0.042304
314,"鲁巨峰发电",20.000000,1.000000,5.413493,20.000000,0.094483
315,"鲁昆嵛发电",20.000000,1.000000,15.047511,20.000000,0.262629
316,"鲁兰陵发电",20.000000,1.000000,2.570576,20.000000,0.044865
317,"鲁琅琊发电",20.000000,1.000000,5.354633,20.000000,0.093456
318,"鲁崂山发电",20.000000,1.000000,4.313177,20.000000,0.075279
319,"鲁聊城发电",20.000000,1.000000,7.413148,20.000000,0.129384
320,"鲁临淄发电",20.000000,1.000000,3.403938,20.000000,0.059410
321,"鲁鲁中发电",20.000000,1.000000,4.031978,20.000000,0.070371
322,"鲁栖霞发电",20.000000,1.000000,9.164365,20.000000,0.159948
323,"鲁日照发电",20.000000,1.000000,5.214683,20.000000,0.091013
324,"鲁寿光发电",20.000000,1.000000,4.382043,20.000000,0.076481
325,"鲁泰山发电",20.000000,1.000000,-1.837824,20.000000,-0.032076
% Generator
BUS,NAME,ID,P/MW,Q/MVAR,VOLTAGE/PU
102,"鲁邹县G","1",301.753218,-143.938451,1.000000
104,"冀石家庄","1",600.000000,-199.089487,1.000000
105,"国驻马G","1",600.000000,1091.041196,1.000000
111,"冀辛安G","1",1500.000000,-141.603606,1.000000
112,"鲁泉城G","1",1500.000000,87.550654,1.000000
114,"鲁华德G","1",1500.000000,17.521460,1.000000
122,"鲁聊厂G","1",1300.000000,85.228675,1.000000
128,"国菏泽G","1",1000.000000,598.333519,1.000000
129,"国枣庄G","1",1000.000000,-2.923875,1.000000
139,"鲁莱芜厂","1",1500.000000,10.194880,1.000000
140,"鲁润泽G","1",1290.000000,61.296132,1.000000
143,"鲁嘉祥G","1",660.000000,-43.874504,1.000000
145,"鲁运河G","1",660.000000,-41.606280,1.000000
156,"鲁蒙抽G","1",1200.000000,-132.445126,1.000000
170,"鲁莱州G","1",1500.000000,23.105492,1.000000
175,"鲁抽蓄G","1",1800.000000,117.323869,1.000000
178,"鲁海阳G","1",1520.000000,-142.903266,1.000000
183,"冀黄骅G","1",1500.000000,-65.504094,1.000000
187,"鲁东电G","1",1000.000000,143.433922,1.000000
191,"鲁博厂G","1",1000.000000,-68.143767,1.000000
193,"鲁寿电G","1",2000.000000,81.979120,1.000000
194,"宁银川G","1",4000.000000,2281.348138,1.000000
202,"蒙蒙东G","1",8000.000000,606.454000,1.000000
302,"蒙上海庙","1",8000.000000,564.580768,1.000000
311,"鲁德州发电","1",1350.000000,119.072799,1.000000
312,"鲁高青发电","1",500.000000,105.382509,1.000000
313,"鲁济南发电","1",1655.000000,157.021604,1.000000
314,"鲁巨峰发电","1",1200.000000,-75.096189,1.000000
315,"鲁昆嵛发电","1",640.000000,135.528361,1.000000
316,"鲁兰陵发电","1",570.000000,-109.180311,1.000000
317,"鲁琅琊发电","1",895.000000,-100.794588,1.000000
318,"鲁崂山发电","1",940.000000,39.596000,1.000000
319,"鲁聊城发电","1",1500.000000,100.674224,1.000000
320,"鲁临淄发电","1",870.000000,121.037967,1.000000
321,"鲁鲁中发电","1",660.000000,188.064194,1.000000
322,"鲁栖霞发电","1",1500.000000,207.592054,1.000000
323,"鲁日照发电","1",1000.000000,-149.035522,1.000000
324,"鲁寿光发电","1",600.000000,263.471932,1.000000
325,"鲁泰山发电","1",700.000000,-34.666070,1.000000
% Load
BUS,NAME,ID,P/MW,Q/MVAR,VOLTAGE/PU
6,"鲁泉城特","1",3000.000000,1100.000000,0.999151
7,"鲁菏泽特","1",3000.000000,700.000000,0.993828
8,"鲁枣庄特","1",1900.000000,500.000000,1.000028
13,"鲁济南","1",729.700000,59.300000,0.998567
15,"鲁陵县","1",1065.000000,104.000000,0.997886
16,"鲁惠民","1",959.800000,106.200000,0.999325
17,"鲁贝州","1",379.200000,152.000000,0.997424
18,"鲁德州","1",841.000000,105.800000,0.998901
19,"鲁柴府","1",372.900000,109.900000,0.997357
20,"鲁闻韶","1",1235.000000,226.200000,0.997261
21,"鲁聊城","1",373.300000,197.800000,0.999106
23,"鲁聊城南","1",405.700000,267.700000,0.995356
24,"鲁东阿","1",411.600000,160.000000,0.995359
25,"鲁长清","1",540.200000,171.300000,0.995090
26,"鲁蟠龙","1",881.400000,134.100000,0.996443
27,"鲁龙山","1",1017.000000,149.300000,0.998266
