internal,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5472-384.542i,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.5829+216.745i,,-11.9643+168.354i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2042-2608.11i,,,,,,,,,,,,,,,,,,,,,,,-69.2042+2629.76i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,31.4595-1700.24i,,-16.3126+353.858i,,,,,,,-15.1469+347.772i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,,,,,,,,,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.3126+353.858i,,43.971-30959.4i,,,,,,,,,,-27.6584+606.642i,,,,,,,,,30000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,,,,,,,,,,,,,,,,,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4007-598.29i,,,-13.9762+321.454i,,,,,,,,,,,,,,-12.4245+278.386i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,43.0691-1610.11i,,,,,,,,,,,,,,,,-43.0691+610.458i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-13.9762+321.454i,,,36.6943-1835.63i,-11.2225+252.988i,,,,,,,,,,,,,,-11.4955+263.7i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.1469+347.772i,,,,,,,,-11.2225+252.988i,37.9871-863.407i,,,,,,,,,,-11.6177+265.095i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,74.0301-2046.43i,-17.897+215.712i,,,,,,,,-21.9743+360.746i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.1588+472.105i,,,,,,,
41,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-27.6584+606.642i,,,,,,,,,-17.897+215.712i,61.0423-2047.49i,,,,,,,-7.84098+126.256i,,,,-7.64592+101.36i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,,43.8452-1602.52i,-43.8452+602.872i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,-43.8452+602.872i,68.7085-2004.58i,-8.67075+138.539i,-11.6872+162.558i,-4.50533+102.261i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.67075+138.539i,30.8684-592.101i,,,,,-14.5138+333.817i,,,-7.68384+121.316i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6872+162.558i,,40.2605-561.666i,,-8.66681+121.933i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.9064+278.69i,,,,,,,,,,,
48,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6177+265.095i,,,-7.84098+126.256i,,,,-4.50533+102.261i,,,35.5396-682.867i,-3.59889+80.8114i,,,-7.97669+131.442i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.9743+360.746i,,,,,,,-8.66681+121.933i,-3.59889+80.8114i,51.9471-961.87i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.7071+400.824i,,,,,,,,,,,
50,9,,-18.8802+686.766i,,,,,,,,,-12.9435+446.053i,,,,,,,,,,,,,,,,,-69.2042+2629.76i,,,,30000i,,,,,,,,,,,,,,,,,,,101.03-33762.8i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,29,,,,,,,,,,,30000i,,,,,,,,-79.8722+1996.81i,,,,,,,,,,,,,,1000i,,-12.4245+278.386i,,,,,,,,,,,,-14.5138+333.817i,,,,,106.81-33607.4i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,54,,,,,,,,,,,,,,,,,,,-6.27785+87.8124i,,,,,,,,,,,,,,,,,,-43.0691+610.458i,-11.4955+263.7i,,,,-7.64592+101.36i,,,,,,,-7.97669+131.442i,,,,80.9291-1253.96i,,-4.46403+62.9747i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,6,,-9.79676+388.102i,-13.9139+527.337i,,,,-11.2366+432.609i,,,,-8.53789+326.574i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4869-31668.3i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000i,,,,,,,,,,,,,
54,2,,,,,,,,,,,,,,,,,,,,,,,,,1000i,,-15.5829+216.745i,,,,,,,,,,,,,,,,,,,,-7.68384+121.316i,,,,,,-4.46403+62.9747i,,32.905-1449.11i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.1742+50.728i,,,,,,,,,,,,
55,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1084-683.985i,-3.9883+91.0662i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.8276+308.499i,,,,,,,-12.2925+286.005i,,,,,,
56,34,,,,,,,,,,,,,,,,,,,,-21.7494+272.992i,-9.47588+89.4944i,,-16.0823+209.291i,,,1000i,-11.9643+168.354i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9883+91.0662i,77.1955-2021.31i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.9353+194.895i,,,,,,,,,,,,
57,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000i,1000i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000i,93.2029-2687.36i,-23.233+239.881i,-62.9213+1339.33i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.04856+109.074i,,,,,,,,,,
59,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.233+239.881i,57.6443-713.963i,-9.17331+208.802i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.238+266.432i,,,,,,
